"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"329",663574,"Santillan, Tony","329","100.0","0.281","0.219","0.333","0.500","0.371","0.365","0.249","18","64","89.9","18.6","2195","89.4","88.89","39","143","186","-0.5","5.91","114","148","114","146","289","320","294"
"329",656288,"Canning, Griffin","329","100.0","0.256","0.115","0.305","0.372","0.312","0.298","0.227","20","78","89.4","16.0","2221","89.0","88.15","48","166","159","-0.9","5.87","114","158","116","153","299","324","300"
"328",453286,"Scherzer, Max","328","100.0","0.179","0.119","0.262","0.299","0.254","0.270","0.182","12","67","82.9","10.3","2242","89.2","89.04","61","166","162","-0.2","6.27","110","154","121","146","299","324","287"
"325",669302,"Gilbert, Logan","325","100.0","0.191","0.162","0.233","0.353","0.257","0.264","0.197","13","68","84.5","17.5","2084","89.1","91.25","59","167","158","2.2","7.56","113","157","114","149","292","314","294"
"324",676596,"Fleming, Josh","324","100.0","0.235","0.123","0.254","0.358","0.273","0.298","0.250","19","81","83.8","0.5","1764","86.7","86.72","35","172","152","0.0","6.37","106","155","114","150","304","319","287"
"316",650496,"Mejía, J.C.","316","100.0","0.282","0.155","0.333","0.437","0.335","0.370","0.323","20","71","87.8","3.9","2201","89.8","89.60","27","148","168","-0.2","6.08","113","152","115","150","292","319","291"
"310",502327,"Santiago, Héctor","310","100.0","0.206","0.127","0.300","0.333","0.271","0.256","0.197","13","63","86.9","9.1","2040","87.7","87.01","47","153","157","-0.7","5.84","111","155","118","148","299","319","288"
"309",669674,"Long, Sam","309","100.0","0.189","0.108","0.241","0.297","0.248","0.283","0.217","14","74","89.2","14.9","2186","83.9","83.45","33","150","159","-0.4","5.95","112","155","114","149","297","319","295"
"308",669456,"Bieber, Shane","308","100.0","0.270","0.122","0.346","0.392","0.318","0.296","0.238","20","74","89.0","10.0","2337","87.4","88.11","44","147","161","0.7","6.63","113","153","116","149","291","320","292"
"306",664141,"Brubaker, JT","306","100.0","0.217","0.181","0.246","0.398","0.277","0.307","0.246","18","83","87.3","13.5","2382","88.6","87.83","43","153","153","-0.8","5.86","114","154","120","149","303","318","290"
"301",640470,"Alzolay, Adbert","301","100.0","0.258","0.258","0.282","0.516","0.374","0.383","0.251","16","62","90.2","5.3","2389","89.7","89.84","29","126","175","0.1","6.25","112","155","114","150","295","316","296"
"299",594835,"Gonzales, Marco","299","100.0","0.270","0.257","0.314","0.527","0.360","0.447","0.336","20","74","89.8","17.9","2204","84.0","84.12","39","140","159","0.1","6.37","108","152","113","147","295","322","288"
"296",502179,"Espino, Paolo","296","100.0","0.218","0.128","0.254","0.346","0.250","0.293","0.246","17","78","86.7","9.0","2458","82.8","83.03","25","139","157","0.2","6.59","110","154","123","145","304","322","295"
"292",608379,"Wacha, Michael","292","100.0","0.343","0.209","0.408","0.552","0.416","0.359","0.288","23","67","88.1","14.5","1908","90.0","90.82","23","155","137","0.8","6.81","106","159","118","149","299","317","295"
"292",622065,"Young, Alex","292","100.0","0.338","0.221","0.377","0.559","0.404","0.363","0.307","23","68","89.8","14.4","2115","86.5","85.78","39","145","147","-0.7","5.77","108","151","118","149","302","324","297"
"290",596295,"Gomber, Austin","290","100.0","0.200","0.067","0.254","0.267","0.207","0.258","0.244","15","75","85.4","4.3","2047","85.3","86.30","40","148","142","1.0","6.63","111","154","119","148","299","339","305"
"287",660761,"Suarez, José","287","100.0","0.209","0.149","0.255","0.358","0.270","0.271","0.233","14","67","88.0","11.5","2175","86.5","86.31","41","132","155","-0.2","6.22","114","155","113","150","302","324","297"
"285",605507,"Thompson, Zach","285","100.0","0.185","0.062","0.300","0.246","0.241","0.284","0.212","12","65","89.5","18.1","2430","87.8","87.97","46","133","152","0.2","6.34","107","155","119","148","296","323","284"
"283",605164,"Bundy, Dylan","283","100.0","0.306","0.242","0.320","0.548","0.392","0.379","0.291","19","62","93.0","13.9","2154","84.3","83.70","28","123","158","-0.6","5.88","112","155","116","147","305","327","298"
"277",677976,"Dobnak, Randy","277","100.0","0.390","0.403","0.354","0.792","0.503","0.431","0.335","30","77","91.3","-0.2","2074","89.5","88.30","26","145","132","-1.2","5.55","106","155","117","148","302","329","293"
"275",622253,"Tate, Dillon","275","100.0","0.180","0.033","0.268","0.213","0.241","0.256","0.189","11","61","88.3","8.1","2019","91.2","91.14","36","114","161","-0.1","6.20","109","155","121","148","296","317","293"
"273",608717,"Stratton, Chris","273","100.0","0.194","0.081","0.234","0.274","0.246","0.276","0.210","12","62","84.3","11.2","2693","87.8","88.43","34","125","148","0.6","6.51","112","154","120","148","303","321","292"
"272",669145,"Zimmermann, Bruce","272","100.0","0.230","0.131","0.286","0.361","0.296","0.368","0.298","14","61","92.6","11.1","2280","87.5","87.35","40","123","149","-0.1","6.29","106","154","121","150","300","325","298"
"267",607192,"Glasnow, Tyler","267","100.0","0.200","0.108","0.308","0.308","0.243","0.264","0.210","13","65","92.2","9.6","2571","91.8","93.20","50","134","133","1.4","7.38","108","159","119","151","306","330","292"
"263",664299,"Javier, Cristian","263","100.0","0.122","0.122","0.172","0.245","0.236","0.316","0.200","6","49","94.0","23.1","2407","89.7","89.08","39","117","146","-0.6","5.98","115","153","119","150","290","329","296"
"262",664062,"Gonsolin, Tony","262","100.0","0.204","0.122","0.300","0.327","0.304","0.259","0.156","10","49","88.0","20.9","2270","88.7","88.32","35","113","149","-0.4","5.94","111","157","116","153","299","318","293"
"260",621121,"McCullers Jr., Lance","260","100.0","0.179","0.089","0.220","0.268","0.260","0.308","0.236","10","56","90.4","0.6","2376","88.6","88.01","33","112","148","-0.6","5.91","112","158","118","152","287","326","294"
"256",607200,"Fedde, Erick","256","100.0","0.214","0.125","0.250","0.339","0.279","0.327","0.262","12","56","88.4","0.1","1925","89.3","89.96","28","122","134","0.7","6.60","110","157","124","142","300","326","299"
"253",474463,"Anderson, Brett","253","100.0","0.292","0.123","0.340","0.415","0.330","0.340","0.288","19","65","90.8","1.1","1804","85.0","78.88","19","102","151","-6.1","5.92","107","155","119","146","300","324","295"
"252",628317,"Maeda, Kenta","252","100.0","0.281","0.158","0.341","0.439","0.353","0.307","0.225","16","57","82.1","16.1","2176","84.5","83.96","35","124","128","-0.5","5.90","107","161","115","149","295","329","293"
"251",670950,"Richards, Trevor","251","100.0","0.163","0.082","0.241","0.245","0.247","0.271","0.199","8","49","89.6","22.5","2228","89.7","89.69","34","112","139","0.0","6.46","109","153","118","147","299","325","299"
"250",476595,"Luetge, Lucas","250","100.0","0.259","0.207","0.325","0.466","0.346","0.337","0.265","15","58","88.7","20.1","2615","84.5","84.63","30","119","131","0.1","6.27","104","149","115","145","299","323","285"
"249",592644,"Plutko, Adam","249","100.0","0.286","0.268","0.324","0.554","0.378","0.355","0.250","16","56","89.8","19.4","2329","89.2","88.85","32","120","129","-0.4","6.04","112","155","120","150","296","317","295"
"247",669214,"Menez, Conner","247","100.0","0.276","0.190","0.333","0.466","0.325","0.294","0.262","16","58","87.4","8.5","2128","85.3","86.00","28","129","118","0.7","6.63","114","155","117","147","297","320","292"
"245",453268,"Bard, Daniel","245","100.0","0.269","0.192","0.353","0.462","0.355","0.278","0.201","14","52","91.4","16.1","2806","92.7","92.91","35","128","116","0.2","6.10","114","154","120","147","303","336","309"
"245",592390,"Hembree, Heath","245","100.0","0.244","0.439","0.357","0.683","0.424","0.362","0.208","10","41","93.8","21.2","2620","91.2","91.86","35","106","139","0.7","6.64","119","152","121","149","295","317","291"
"243",642207,"Williams, Devin","243","100.0","0.205","0.128","0.389","0.333","0.307","0.269","0.155","8","39","86.8","17.3","2552","88.3","89.19","45","105","138","0.9","6.88","110","157","119","147","299","327","301"
"242",643377,"Jax, Griffin","242","100.0","0.280","0.340","0.250","0.620","0.388","0.367","0.256","14","50","92.5","24.1","2249","87.4","87.01","17","115","127","-0.4","5.94","113","158","122","149","297","331","291"
"241",667297,"Nance, Tommy","241","100.0","0.208","0.245","0.222","0.453","0.335","0.331","0.228","11","53","89.7","3.5","2433","91.5","91.45","24","99","142","-0.1","6.22","110","154","115","149","295","316","297"
"241",543272,"Hand, Brad","241","100.0","0.158","0.105","0.186","0.263","0.208","0.321","0.260","9","57","88.8","15.0","2276","87.5","86.22","19","106","135","-1.3","5.59","107","154","115","148","305","325","294"
"241",503449,"Peralta, Wily","241","100.0","0.192","0.192","0.190","0.385","0.287","0.326","0.243","10","52","92.3","10.6","1756","88.9","88.28","25","106","135","-0.6","5.79","110","155","120","148","301","323","303"
"241",622503,"Crismatt, Nabil","241","100.0","0.311","0.164","0.370","0.475","0.367","0.294","0.241","19","61","85.3","7.3","1904","80.6","81.39","29","107","134","0.8","7.00","113","153","123","146","297","322","312"
"240",642528,"Loáisiga, Jonathan","240","100.0","0.200","0.033","0.273","0.233","0.219","0.207","0.171","12","60","82.6","2.4","2321","94.3","94.75","34","123","117","0.4","6.54","107","153","115","146","298","325","289"
"239",448855,"Guerra, Junior","239","100.0","0.244","0.067","0.286","0.311","0.348","0.373","0.253","11","45","87.4","8.1","2140","88.1","88.35","31","97","142","0.3","6.50","118","158","122","150","303","325","300"
"237",624133,"Suárez, Ranger","237","100.0","0.125","0.107","0.128","0.232","0.187","0.240","0.202","7","56","83.9","3.9","1791","90.2","90.17","25","113","124","0.0","6.23","106","154","113","146","296","326","294"
"237",429722,"Santana, Ervin","237","100.0","0.207","0.259","0.200","0.466","0.311","0.345","0.229","12","58","88.3","17.0","2254","88.0","87.68","25","103","134","-0.3","5.98","109","159","122","147","308","324","301"
"237",543766,"Shaw, Bryan","237","100.0","0.250","0.146","0.333","0.396","0.346","0.295","0.208","12","48","89.2","8.4","2355","90.1","89.41","37","111","126","-0.7","5.74","112","152","117","150","288","316","293"
"236",663765,"Woodford, Jake","236","100.0","0.244","0.333","0.171","0.578","0.397","0.392","0.264","11","45","88.0","12.2","2214","86.9","87.16","18","96","140","0.3","6.41","112","152","122","146","297","308","291"
"236",571927,"Matz, Steven","236","100.0","0.315","0.259","0.378","0.574","0.409","0.327","0.252","17","54","87.7","8.5","2186","89.4","89.52","28","113","123","0.1","6.25","106","154","122","145","290","313","288"
"233",571510,"Boyd, Matthew","233","100.0","0.296","0.204","0.310","0.500","0.367","0.337","0.261","16","54","86.9","16.1","2265","86.4","86.12","25","123","110","-0.3","6.16","104","155","117","147","298","322","300"
"232",666159,"Manning, Matt","232","100.0","0.300","0.267","0.288","0.567","0.382","0.357","0.298","18","60","92.2","13.5","1893","89.8","90.90","13","108","124","1.1","6.89","108","152","114","150","291","321","302"
"231",489334,"Stammen, Craig","231","100.0","0.242","0.161","0.271","0.403","0.299","0.333","0.275","15","62","89.8","8.8","2282","88.1","88.70","22","112","119","0.6","6.70","117","153","140","143","297","324","317"
"231",667463,"King, John","231","100.0","0.167","0.019","0.225","0.185","0.207","0.244","0.200","9","54","87.1","-1.5","1983","86.8","86.33","31","113","118","-0.5","5.94","114","157","124","148","304","336","297"
"231",656353,"Davidson, Tucker","231","100.0","0.192","0.173","0.216","0.365","0.287","0.385","0.273","10","52","89.3","11.9","2109","89.2","89.21","26","107","124","0.0","6.13","105","147","123","146","306","317","281"
"230",656529,"Hentges, Sam","230","100.0","0.358","0.151","0.459","0.509","0.399","0.339","0.273","19","53","88.4","14.1","2286","88.4","89.19","27","110","120","0.8","6.73","113","152","114","149","291","322","285"
"229",502202,"Boxberger, Brad","229","100.0","0.214","0.095","0.296","0.310","0.310","0.304","0.194","9","42","83.9","9.1","2139","90.0","84.50","34","96","133","-5.5","5.55","107","154","115","147","301","328","301"
"229",664192,"Lucchesi, Joey","229","100.0","0.226","0.132","0.270","0.358","0.272","0.273","0.207","12","53","89.6","15.5","2133","87.2","87.57","21","110","119","0.4","6.46","112","149","110","149","302","327","305"
"228",533167,"Shoemaker, Matt","228","100.0","0.426","0.383","0.395","0.809","0.515","0.470","0.353","20","47","90.6","10.7","1736","87.6","87.58","22","110","118","0.0","6.17","104","154","113","148","301","333","294"
"228",621368,"Hearn, Taylor","228","100.0","0.320","0.360","0.355","0.680","0.436","0.389","0.291","16","50","87.0","19.0","2149","92.6","88.56","31","107","121","-4.0","6.13","115","154","123","147","306","334","296"
"227",608335,"Funkhouser, Kyle","227","100.0","0.273","0.055","0.318","0.327","0.309","0.321","0.266","15","55","85.0","-8.5","2152","92.3","92.95","28","103","124","0.6","6.54","106","151","114","146","295","321","301"
"227",621219,"Mills, Alec","227","100.0","0.339","0.085","0.435","0.424","0.362","0.324","0.279","20","59","90.6","5.4","2199","84.1","83.48","16","93","134","-0.6","5.95","108","153","111","150","295","322","301"
"226",592351,"Gray, Jon","226","100.0","0.220","0.260","0.242","0.480","0.327","0.296","0.200","11","50","89.9","6.4","2167","91.2","91.65","33","112","114","0.5","6.30","114","155","116","149","295","332","303"
"226",621237,"Alvarado, José","226","100.0","0.182","0.159","0.222","0.341","0.292","0.330","0.240","8","44","89.6","3.3","2099","98.4","99.24","24","95","131","0.8","6.80","107","149","110","144","295","323","291"
"225",676477,"Whitlock, Garrett","225","100.0","0.255","0.039","0.342","0.294","0.269","0.271","0.241","13","51","87.1","1.3","2049","91.0","92.63","27","104","121","1.6","7.24","108","151","117","145","299","330","294"
"225",663432,"Rainey, Tanner","225","100.0","0.154","0.205","0.174","0.359","0.311","0.273","0.112","6","39","90.5","24.2","2375","94.3","94.00","46","115","110","-0.3","6.19","110","154","119","143","300","321","295"
