"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"25",666205,"Muller, Kyle","25","100.0","0.571","0.286","0.667","0.857","0.606","0.311","0.318","4","7","90.7","9.2","2373","90.0","90.30","9","18","7","0.3","6.42","91","137","108","136","319","323","284"
"24",542992,"Burns, Andy","24","100.0","0.500","0.667","0.500","1.167","0.688","0.617","0.506","3","6","90.5","3.2","1838","76.0","75.55","2","12","12","-0.5","5.81","120","162","132","153","298","315","304"
"24",572020,"Paxton, James","24","100.0","0.000","0.000","0.000","0.000","0.138","0.170","0.044","0","4","66.2","14.5","2190","91.1","90.93","4","12","12","-0.2","6.36","107","151","117","142","299","318","293"
"23",475054,"Roe, Chaz","23","100.0","0.333","0.667","1.000","1.000","0.565","0.608","0.321","1","3","108.6","22.0","2758","86.2","85.73","3","9","14","-0.5","6.39","112","152","111","152","319","322","286"
"22",596049,"Morimando, Shawn","22","100.0","0.667","0.833","0.600","1.500","0.866","0.473","0.309","4","6","87.5","10.3","2252","89.0","88.90","2","11","11","-0.1","6.30","113","148","127","148","297","313","287"
"22",656186,"Altavilla, Dan","22","100.0","0.200","0.600","0.000","0.800","0.401","0.452","0.257","1","5","88.1","36.3","2446","93.1","91.76","1","12","10","-1.3","5.67","129","160","122","152","295","315","304"
"22",656803,"Norwood, James","22","100.0","0.250","0.000","0.333","0.250","0.314","0.343","0.262","1","4","70.2","32.0","1847","95.1","95.46","0","10","12","0.4","6.46","118","152","118","147","301","331","318"
"22",650911,"Sánchez, Cristopher","22","100.0","0.200","0.000","0.333","0.200","0.176","0.146","0.155","1","5","76.3","-3.7","2010","89.2","90.09","2","11","11","0.9","6.93","112","162","123","149","297","325","289"
"21",476454,"Betances, Dellin","21","100.0","0.000","0.000","0.000","0.000","0.283","0.389","0.198","0","3","89.3","-2.5","2366","87.1","87.30","1","6","15","0.2","6.52","110","143","117","143","290","327","297"
"21",573131,"Ruf, Darin","21","100.0","0.600","0.400","0.500","1.000","0.560","0.477","0.378","3","5","93.3","25.5","1862","75.2","74.27","1","12","9","-0.9","5.26","115","150","129","150","306","329","293"
