"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"49",664294,"Moreta, Dauri","49","100.0","0.100","0.000","0.167","0.100","0.143","0.162","0.111","1","10","74.3","25.5","2140","92.7","93.02","6","29","20","0.3","6.38","114","150","126","149","286","313","287"
"49",663423,"Thornton, Trent","49","100.0","0.250","0.500","0.333","0.750","0.438","0.313","0.239","2","8","95.8","7.0","2713","88.2","87.96","7","22","27","-0.2","6.19","108","152","129","151","293","327","284"
"48",641447,"Castano, Daniel","48","100.0","0.154","0.000","0.200","0.154","0.175","0.261","0.225","2","13","78.2","16.3","2207","86.0","85.75","7","23","25","-0.2","5.99","112","155","114","149","290","313","286"
"48",518435,"Barreda, Manny","48","100.0","0.333","0.500","0.250","0.833","0.511","0.461","0.289","4","12","95.7","27.5","2232","91.1","90.72","5","23","25","-0.4","6.16","112","152","122","149","293","322","290"
"48",456501,"Cueto, Johnny","48","100.0","0.300","0.200","0.429","0.500","0.365","0.312","0.267","3","10","88.8","24.6","1905","88.3","87.65","6","28","20","-0.6","5.85","106","148","124","150","289","322","299"
"48",640462,"Puk, A.J.","48","100.0","0.667","0.000","0.800","0.667","0.603","0.434","0.389","8","12","99.4","5.2","2145","92.3","92.78","3","24","24","0.5","6.71","107","147","115","146","288","323","299"
"48",502522,"Miller, Justin","48","100.0","0.200","0.067","0.214","0.267","0.231","0.328","0.284","3","15","95.2","30.2","2334","89.8","89.73","6","30","18","-0.1","6.34","121","160","127","150","297","323","301"
"47",502748,"Peacock, Brad","47","100.0","0.308","0.385","0.333","0.692","0.433","0.245","0.194","4","13","91.1","14.3","2074","84.4","83.98","6","24","23","-0.4","5.96","114","154","128","143","285","327","303"
"47",573109,"Ramos, AJ","47","100.0","0.000","0.000","0.000","0.000","0.106","0.193","0.093","0","11","81.2","13.5","1992","85.3","84.69","5","21","26","-0.6","6.05","119","156","116","148","304","326","299"
"46",672710,"Contreras, Roansy","46","100.0","0.273","0.091","0.429","0.364","0.308","0.259","0.184","3","11","95.4","13.0","2508","91.6","91.38","6","22","24","-0.2","6.27","107","148","119","148","308","319","291"
"45",623437,"Topa, Justin","45","100.0","0.583","0.667","0.556","1.250","0.761","0.367","0.276","7","12","90.2","16.3","2181","91.6","90.72","2","21","24","-0.9","5.75","111","154","116","147","296","316","301"
