"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"76",664129,"Hartlieb, Geoff","76","100.0","0.357","0.143","0.455","0.500","0.465","0.422","0.281","5","14","89.9","20.0","2437","90.4","90.19","7","27","49","-0.2","6.01","109","151","120","147","303","331","300"
"76",595928,"Curtiss, John","76","100.0","0.250","0.250","0.231","0.500","0.336","0.308","0.232","4","16","89.9","22.9","2430","91.0","91.25","9","37","39","0.3","6.35","110","149","119","147","298","319","302"
"75",641851,"McGowin, Kyle","75","100.0","0.133","0.200","0.125","0.333","0.251","0.258","0.175","2","15","89.0","19.3","2555","83.1","82.91","12","38","37","-0.2","6.27","114","162","122","146","302","327","304"
"75",650496,"Mejía, J.C.","75","100.0","0.500","0.429","0.462","0.929","0.619","0.499","0.359","7","14","92.1","16.2","2257","88.2","87.29","1","26","49","-0.9","5.96","107","148","115","146","292","318","297"
"74",670050,"Ridings, Stephen","74","100.0","0.235","0.176","0.400","0.412","0.315","0.278","0.217","4","17","88.8","9.7","2300","94.1","94.54","14","34","40","0.4","6.69","112","157","127","140","298","318","284"
"74",502522,"Miller, Justin","74","100.0","0.294","0.235","0.308","0.529","0.400","0.455","0.341","5","17","87.7","11.1","2377","90.0","90.16","6","38","36","0.2","6.35","110","153","123","146","303","323","299"
"74",528748,"Castellanos, Humberto","74","100.0","0.167","0.111","0.176","0.278","0.235","0.291","0.232","3","18","88.2","15.4","1987","88.4","87.97","3","34","40","-0.4","6.19","112","151","115","152","296","325","296"
"74",623474,"Herget, Jimmy","74","100.0","0.273","0.227","0.294","0.500","0.341","0.382","0.330","6","22","85.2","4.8","2294","85.2","83.31","9","33","41","-1.9","5.09","113","154","116","148","307","323","294"
"73",657248,"Otto, Glenn","73","100.0","0.118","0.059","0.200","0.176","0.125","0.196","0.133","2","17","84.2","12.9","2284","86.9","88.08","9","41","32","1.2","6.99","119","161","123","149","310","334","302"
"73",641726,"Jefferies, Daulton","73","100.0","0.176","0.235","0.154","0.412","0.310","0.301","0.206","3","17","86.0","13.6","2046","90.9","90.23","10","37","36","-0.7","5.87","110","153","120","149","315","327","299"
"71",676050,"Naughton, Packy","71","100.0","0.227","0.000","0.250","0.227","0.241","0.227","0.190","5","22","80.6","0.9","1904","87.2","86.52","8","39","32","-0.7","5.78","105","153","111","148","300","322","301"
"71",571510,"Boyd, Matthew","71","100.0","0.267","0.400","0.250","0.667","0.438","0.357","0.207","4","15","89.9","22.6","2179","86.1","86.00","11","32","39","-0.1","6.16","107","152","122","149","298","328","294"
